Process Name,Memory Usage,CPU Usage
RuntimeBroker.exe,33574912,0
LocationNotificationWindows.exe,401408,0
msedgewebview2.exe,41566208,0
Widgets.exe,11091968,0
StartMenuExperienceHost.exe,85803008,0
SearchHost.exe,78987264,0
svchost.exe,8650752,0
msedge.exe,53821440,0
svchost.exe,4259840,0
audiodg.exe,28356608,0
XboxPcAppFT.exe,4079616,0
BridgeCommunication.exe,4939776,0
dllhost.exe,12681216,0
python.exe,45998080,0
XboxGameBarWidgets.exe,741376,0
svchost.exe,10186752,0
chrome.exe,73523200,0
ctfmon.exe,31842304,0
PushNotificationsLongRunningTask.exe,5959680,0
TabTip.exe,26165248,0
HPEnhancedLighting.Bg.exe,15802368,0
RuntimeBroker.exe,12824576,0
TextInputHost.exe,28676096,0
WhatsApp.exe,13856768,0
taskhostw.exe,3530752,0
RuntimeBroker.exe,9744384,0
Code.exe,133009408,0
svchost.exe,12615680,0
svchost.exe,26980352,0
DesktopExtension.exe,27320320,0
RuntimeBroker.exe,5984256,0
msedge.exe,15978496,0
svchost.exe,9695232,0
CodeSetup-stable-b58957e67ee1e712cebf466b995adf4c5307b2bd.tmp,45002752,0
Code.exe,220078080,0
SecurityHealthSystray.exe,4849664,0
SecurityHealthService.exe,10878976,0
unsecapp.exe,6156288,0
msedgewebview2.exe,9871360,0
HPSystemEventUtilityBackground.exe,21774336,0
RuntimeBroker.exe,5865472,0
HPCC.Bg.BackgroundApp.exe,15851520,0
svchost.exe,10317824,0
chrome.exe,515112960,0
MoUsoCoreWorker.exe,13996032,0
svchost.exe,12517376,0
RtkAudUService64.exe,5697536,0
ONENOTEM.EXE,1175552,0
wuapihost.exe,2953216,0
HP.myHP.exe,6172672,0
HpSystemManagement.exe,5103616,0
SearchProtocolHost.exe,15380480,0
chrome.exe,17276928,0
conhost.exe,10674176,0
OmenCommandCenterBackground.exe,174284800,0
ExpressVPNNotificationService.exe,14073856,0
chrome.exe,96374784,0
AppleMobileDeviceProcess.exe,4648960,0
taskhostw.exe,10764288,0
OpenConsole.exe,15912960,0
svchost.exe,3694592,0
dllhost.exe,4624384,0
svchost.exe,7155712,0
GameBar.exe,3399680,0
SearchIndexer.exe,47525888,0
sw2_tray.exe,3424256,0
jusched.exe,5959680,0
steamwebhelper.exe,9453568,0
svchost.exe,7139328,0
QtWebEngineProcess.exe,21237760,0
jucheck.exe,12664832,0
dllhost.exe,10121216,0
LockApp.exe,28897280,0
svchost.exe,3260416,0
chrome.exe,308531200,0
chrome.exe,34299904,0
chrome.exe,12054528,0
svchost.exe,11526144,0
chrome.exe,66502656,0
ai.exe,22573056,0
powershell.exe,69689344,0
chrome.exe,55443456,0
conhost.exe,10739712,0
RuntimeBroker.exe,10989568,0
chrome.exe,5365760,0
chrome.exe,46198784,0
msedge.exe,13185024,0
chrome.exe,120168448,0
conhost.exe,10899456,0
steamwebhelper.exe,8339456,0
chrome.exe,193089536,0
python.exe,15962112,0
msedge.exe,34504704,0
steam.exe,34287616,0
conhost.exe,10895360,0
steamwebhelper.exe,54112256,0
msedge.exe,3203072,0
powershell.exe,66686976,0
msedge.exe,51355648,0
figma_agent.exe,8867840,0
HPSystemEventUtilityHost.exe,38584320,0
chrome.exe,8572928,0
msedgewebview2.exe,17448960,0
chrome.exe,40624128,0
chrome.exe,22495232,0
chrome.exe,15728640,0
Microsoft.SharePoint.exe,26488832,0
Code.exe,70414336,0
ai.exe,20246528,0
msteams.exe,20873216,0
Code.exe,30760960,0
FileCoAuth.exe,20307968,0
backgroundTaskHost.exe,1703936,0
OneDrive.exe,42463232,0
msedgewebview2.exe,7983104,0
steamwebhelper.exe,49577984,0
svchost.exe,3997696,0
msedgewebview2.exe,46313472,0
chrome.exe,16482304,0
python.exe,55091200,0
RuntimeBroker.exe,6639616,0
TabNine.exe,56860672,0
WindowsTerminal.exe,131178496,0
steamwebhelper.exe,19435520,0
msedge.exe,4255744,0
TabNine.exe,23461888,0
conhost.exe,8425472,0
